route_id,label,gu,distance_m,cctv_count,street_light_count,cctv_coverage_pct,street_light_coverage_pct,has_police_station,nearest_police_distance_m,cctv_average_gap_m,street_light_average_gap_m,cctv_density_penalty,cctv_coverage_penalty,street_light_penalty,police_penalty,total_penalty,safety_score
CMP-002,0,,491.0,9,9,80.0,47.1,False,502.0,54.6,54.6,5,0,20,20,45,78
CMP-003,0,,1395.0,19,36,25.0,59.6,True,168.9,73.4,38.8,5,12,20,0,37,82
CMP-004,0,,1008.0,53,59,81.0,76.5,True,75.4,19.0,17.1,0,0,10,0,10,95
CMP-005,0,,491.0,9,9,80.0,47.1,False,502.0,54.6,54.6,5,0,20,20,45,78
CMP-006,0,,1395.0,19,36,25.0,59.6,True,168.9,73.4,38.8,5,12,20,0,37,82
CMP-007,0,,915.0,117,6,84.2,12.9,False,,7.8,152.5,0,0,45,20,65,68
CMP-008,0,,1181.0,4,46,16.7,65.0,False,305.3,295.2,25.7,20,15,10,20,65,68
CMP-009,0,,563.0,40,43,83.3,100.0,True,95.5,14.1,13.1,0,0,0,0,0,100
CMP-010,0,,931.0,37,39,63.2,71.9,True,56.0,25.2,23.9,0,4,10,0,14,93
CMP-011,0,,833.0,48,0,82.4,0.0,True,9.8,17.4,,0,0,45,0,45,78
CMP-012,0,,797.0,9,12,68.8,29.6,False,472.4,88.6,66.4,10,4,30,20,64,68
CMP-014,0,,718.0,8,43,60.0,50.0,False,,89.8,16.7,10,4,20,20,54,73
CMP-015,0,,1129.0,14,58,34.8,97.4,True,62.1,80.6,19.5,10,12,0,0,22,89
CMP-016,0,,1036.0,52,81,57.1,97.1,True,9.6,19.9,12.8,0,8,0,0,8,96
CMP-017,0,,931.0,13,22,78.9,50.0,True,179.1,71.6,42.3,5,4,20,0,29,86
CMP-018,0,,833.0,55,13,58.8,32.1,False,580.7,15.1,64.1,0,8,30,20,58,71
CMP-019,0,,845.0,2,17,23.5,62.1,False,,422.5,49.7,20,12,10,20,62,69
CMP-020,0,,370.0,5,39,87.5,100.0,False,695.6,74.0,9.5,5,0,0,20,25,88
CMP-021,0,,1268.0,16,35,57.7,60.5,False,406.0,79.2,36.2,10,8,10,20,48,76
CMP-022,0,,1053.0,25,42,54.5,83.3,True,247.1,42.1,25.1,0,8,0,0,8,96
CMP-023,0,,1175.0,25,55,62.5,70.0,False,,47.0,21.4,0,4,10,20,34,83
CMP-024,0,,467.0,7,40,80.0,93.8,False,655.2,66.7,11.7,5,0,0,20,25,88
CMP-025,0,,711.0,58,15,86.7,33.3,False,,12.3,47.4,0,0,30,20,50,75
CMP-026,0,,831.0,32,8,64.7,10.7,True,292.3,26.0,103.9,0,4,45,0,49,76
CMP-027,0,,1298.0,23,72,30.8,52.3,False,302.4,56.4,18.0,5,12,20,20,57,72
CMP-029,0,,1049.0,20,0,47.6,0.0,True,105.7,52.5,,5,8,45,0,58,71
CMP-030,0,,430.0,21,17,55.6,33.3,False,367.9,20.5,25.3,0,8,30,20,58,71
CMP-031,0,,1115.0,38,0,69.6,0.0,False,573.6,29.3,,0,4,45,20,69,66
CMP-032,0,,565.0,28,44,91.7,100.0,False,,20.2,12.8,0,0,0,20,20,90
CMP-033,0,,534.0,11,6,90.9,38.9,False,,48.5,89.0,0,0,30,20,50,75
CMP-034,0,,741.0,12,20,80.0,68.0,False,379.4,61.8,37.0,5,0,10,20,35,82
CMP-035,0,,1058.0,12,308,50.0,55.6,False,,88.2,3.4,10,8,20,20,58,71
CMP-036,0,,522.0,20,0,100.0,0.0,False,458.8,26.1,,0,0,45,20,65,68
CMP-037,0,,1388.0,49,42,50.0,44.7,False,476.0,28.3,33.0,0,8,20,20,48,76
CMP-038,0,,1385.0,28,73,50.0,70.2,False,631.9,49.5,19.0,0,8,10,20,38,81
CMP-040,0,,466.0,8,834,70.0,18.8,False,,58.2,0.6,5,4,45,20,74,63
CMP-041,0,,1149.0,16,16,52.2,43.6,True,281.4,71.8,71.8,5,8,20,0,33,84
CMP-042,0,,693.0,35,35,50.0,83.3,True,98.5,19.8,19.8,0,8,0,0,8,96
CMP-043,0,,1174.0,23,38,70.8,55.0,True,121.4,51.0,30.9,5,4,20,0,29,86
CMP-044,0,,1083.0,51,59,77.3,67.6,True,153.7,21.2,18.4,0,4,10,0,14,93
CMP-045,0,,484.0,10,20,100.0,94.1,False,,48.4,24.2,0,0,0,20,20,90
CMP-046,0,,779.0,11,13,87.5,30.8,False,,70.8,59.9,5,0,30,20,55,72
CMP-047,0,,960.0,15,23,75.0,56.2,False,,64.0,41.7,5,4,20,20,49,76
CMP-048,0,,1158.0,50,0,75.0,0.0,True,247.4,23.2,,0,4,45,0,49,76
CMP-049,0,,1032.0,22,46,52.4,62.9,True,28.5,46.9,22.4,0,8,10,0,18,91
CMP-050,0,,775.0,72,59,93.8,100.0,False,,10.8,13.1,0,0,0,20,20,90
CMP-048,0,,1008.0,53,59,81.0,76.5,True,75.4,19.0,17.1,0,0,10,0,10,95
CMP-049,0,,491.0,9,9,80.0,47.1,False,502.0,54.6,54.6,5,0,20,20,45,78
CMP-050,0,,1395.0,19,36,25.0,59.6,True,168.9,73.4,38.8,5,12,20,0,37,82
