연번,설치주소,설치형태,등용량(W),데이터 기준일,위도,경도
1814,구로구 고척동 315,한전주,25,2025-11-28,37.5008385,126.8530998
1815,구로구 고척동 271-6,한전주,50,2025-11-28,37.5010240,126.8522676
1816,구로구 개봉동 272-1,한전주,40,2025-11-28,37.4882675,126.8516484
1817,구로구 개봉동 272-11,한전주,70,2025-11-28,37.4882468,126.8520209
1818,구로구 개봉동 273,한전주,70,2025-11-28,37.4881397,126.8512674
1819,구로구 개봉동 273-15,폴형,70,2025-11-28,37.4873148,126.8511494
1820,구로구 개봉동 273-15,폴형,70,2025-11-28,37.4873148,126.8511494
1821,구로구 고척동 273-16,한전주,35,2025-11-28,37.5008155,126.8517212
1822,구로구 개봉동 273-16,벽부형,50,2025-11-28,37.4884021,126.8501610
1823,구로구 고척동 273-15,벽부형,35,2025-11-28,37.5007383,126.8520458
1824,구로구 고척동 273-28,벽부형,70,2025-11-28,37.5006860,126.8520961
1825,구로구 고척동 273-38,한전주,50,2025-11-28,37.5004966,126.8522791
1826,구로구 개봉동 273-4,한전주,70,2025-11-28,37.4883902,126.8507807
1827,구로구 고척동 273-77,한전주,50,2025-11-28,37.5001006,126.8525573
1828,구로구 고척동 273-48,폴형,70,2025-11-28,37.5002352,126.8522228
1829,구로구 고척동 273-54,벽부형,50,2025-11-28,37.5000686,126.8523143
1830,구로구 고척동 273-77,한전주,50,2025-11-28,37.5001006,126.8525573
1831,구로구 고척동 273-9,폴형,50,2025-11-28,37.5009886,126.8515235
1832,구로구 개봉동 273,한전주,70,2025-11-28,37.4881397,126.8512674
1833,구로구 고척동 274-12,한전주,25,2025-11-28,37.5011016,126.8517402
1834,구로구 고척동 274-15,한전주,25,2025-11-28,37.5010570,126.8516627
1835,구로구 개봉동 274-17,한전주,25,2025-11-28,37.4881234,126.8521159
1836,구로구 개봉동 273-16,폴형,70,2025-11-28,37.4884021,126.8501610
1837,구로구 고척동 274-12,한전주,25,2025-11-28,37.5011016,126.8517402
1838,구로구 개봉동 273-16,폴형,25,2025-11-28,37.4884021,126.8501610
1839,구로구 개봉동 273-16,폴형,70,2025-11-28,37.4884021,126.8501610
1840,구로구 개봉동 273-16,폴형,70,2025-11-28,37.4884021,126.8501610
1841,구로구 개봉동 273-16,폴형,40,2025-11-28,37.4884021,126.8501610
1842,구로구 개봉동 273-16,폴형,40,2025-11-28,37.4884021,126.8501610
1843,구로구 개봉동 273-15,한전주,70,2025-11-28,37.4873148,126.8511494
1844,구로구 개봉동 425-4,폴형,70,2025-11-28,37.4878748,126.8514798
1845,구로구 신도림동 276-1,한전주,70,2025-11-28,37.5136756,126.8805637
1846,구로구 신도림동 276-1,한전주,70,2025-11-28,37.5136756,126.8805637
1847,구로구 신도림동 276-10,한전주,50,2025-11-28,37.5129698,126.8801415
1848,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1849,구로구 신도림동 276-29,한전주,50,2025-11-28,37.5134019,126.8812413
1850,구로구 개봉동 277-15,한전주,50,2025-11-28,37.4884586,126.8592313
1851,구로구 개봉동 276-22,한전주,25,2025-11-28,37.4888784,126.8592335
1852,구로구 신도림동 276-4,한전주,70,2025-11-28,37.5128445,126.8809081
1853,구로구 신도림동 276-4,한전주,50,2025-11-28,37.5128445,126.8809081
1854,구로구 신도림동 276-46,한전주,50,2025-11-28,37.5123192,126.8806153
1855,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1856,구로구 신도림동 276-48,한전주,70,2025-11-28,37.5121622,126.8802514
1857,구로구 신도림동 276-5,폴형,50,2025-11-28,37.5134554,126.8803816
1858,구로구 신도림동 276-5,폴형,50,2025-11-28,37.5134554,126.8803816
1859,구로구 신도림동 276-5,한전주,70,2025-11-28,37.5134554,126.8803816
1860,구로구 신도림동 276-59,한전주,50,2025-11-28,37.5123908,126.8798714
1861,구로구 신도림동 276-6,폴형,50,2025-11-28,37.5132325,126.8801069
1862,구로구 신도림동 276-6,폴형,50,2025-11-28,37.5132325,126.8801069
1863,구로구 신도림동 276-60,한전주,50,2025-11-28,37.5123002,126.8796898
1864,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1865,구로구 오류동 275-2,한전주,50,2025-11-28,37.4879259,126.8331339
1866,구로구 개봉동 266,폴형,50,2025-11-28,37.4894428,126.8584461
1867,구로구 개봉동 277-15,한전주,50,2025-11-28,37.4884586,126.8592313
1868,구로구 개봉동 277-17,한전주,50,2025-11-28,37.4881547,126.8591489
1869,구로구 개봉동 277-9,한전주,70,2025-11-28,37.4883513,126.8586737
1870,구로구 개봉동 278-1,한전주,30,2025-11-28,37.4885983,126.8583791
1871,구로구 개봉동 371-6,한전주,25,2025-11-28,37.4881164,126.8589694
1872,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1873,구로구 개봉동 266,폴형,50,2025-11-28,37.4894428,126.8584461
1874,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1875,구로구 개봉동 278-21,한전주,25,2025-11-28,37.4882707,126.8570906
1876,구로구 개봉동 278-8,한전주,50,2025-11-28,37.4885769,126.8573392
1877,구로구 개봉동 266,한전주,50,2025-11-28,37.4894428,126.8584461
1878,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1879,구로구 개봉동 278-7,한전주,50,2025-11-28,37.4885908,126.8574858
1880,구로구 개봉동 371-6,폴형,25,2025-11-28,37.4881164,126.8589694
1881,구로구 궁동 289,한전주,50,2025-11-28,37.4979264,126.8297487
1882,구로구 개봉동 279-13,벽부형,70,2025-11-28,37.4879848,126.8572925
1883,구로구 개봉동 279-19,한전주,70,2025-11-28,37.4877994,126.8573166
1884,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
