등번호,위도값,경도값
천호3동560,37.5421232,127.1311754
천호3동561,37.5420257,127.1314028
천호3동562,37.5418932,127.1317665
천호3동563,37.5417527,127.132266
천호3동564,37.5424035,127.1313192
천호3동565,37.5421812,127.1317179
천호3동566,37.5423901,127.1331752
천호3동567,37.5402891,127.1317285
천호3동568,37.5401712,127.131628
천호3동569,37.5393812,127.1357221
천호3동570,37.5379645,127.1280779
천호3동571,37.5429013,127.1365415
천호3동572,37.5416244,127.1344288
천호3동574,37.5423169,127.1391849
천호3동579,37.5396806,127.1335347
천호3동580,37.5413349,127.1342737
천호3동343,37.5426731,127.1349033
천호3동344,37.5429865,127.1358729
천호3동345,37.5427976,127.135909
천호3동347,37.5425736,127.1360813
천호3동348,37.5425565,127.136206
천호3동349,37.542504,127.1364216
천호3동350,37.5424039,127.136287
천호3동351,37.54218,127.1364819
천호3동352,37.5422596,127.136266
천호3동353,37.5422515,127.1363906
천호3동355,37.5420546,127.1365739
천호3동356,37.5423347,127.1366838
천호3동357,37.5424886,127.1367839
천호3동358,37.5426238,127.1367937
천호3동359,37.5427771,127.1368032
천호3동360,37.5429115,127.1366998
천호3동361,37.542864,127.1363609
천호3동362,37.542639,127.1363974
천호3동363,37.5432042,127.1372962
천호3동364,37.5428795,127.1372547
천호3동365,37.542896,127.1370508
천호3동310,37.5418082,127.1349133
천호3동311,37.5417531,127.1360116
천호3동314,37.541475,127.1361732
천호3동315,37.5413762,127.1362196
천호3동316,37.5414916,127.1359806
천호3동317,37.5413216,127.136141
천호3동318,37.5411595,127.1361542
천호3동319,37.5412962,127.1363676
천호3동320,37.5410535,127.1364496
천호3동321,37.5411095,127.1367093
천호3동322,37.5412799,127.1366055
천호3동324,37.5418168,127.1361014
천호3동325,37.541814,127.1357053
천호3동326,37.542021,127.1356803
천호3동666,37.53744257,127.1302566
천호3동667,37.53822495,127.1336072
천호3동668,37.5417068,127.1340632
천호3동669,37.54167873,127.1369343
천호3동670,37.54294257,127.1386962
천호3동671,37.54194549,127.1360975
천호3동672,37.53705765,127.134052
천호3동673,37.53696987,127.1339981
천호3동674,37.5368663,127.1339527
천호3동675,37.53675601,127.1338789
천호3동676,37.53665696,127.1338307
천호3동677,37.53654665,127.1337767
천호3동678,37.53645889,127.1337002
천호3동679,37.53636887,127.1336293
천호3동680,37.53626533,127.1335641
천호3동681,37.53618433,127.1334847
천호3동682,37.53613263,127.1333856
천호3동683,37.53610575,127.1332498
천호3동684,37.53599983,127.1333034
천호3동685,37.53592558,127.133224
천호3동598,37.5416551,127.1373932
천호3동600,37.5401764,127.1360297
천호3동601,37.5398088,127.1301272
천호3동602,37.540744,127.1298787
천호3동603,37.54114737,127.1307666
천호3동604,37.53911532,127.1310374
천호3동606,37.5418917,127.1338938
천호3동609,37.5400686,127.1323873
천호3동610,37.54194292,127.1324172
천호3동413,37.5427696,127.1394852
천호3동414,37.5426891,127.1395654
천호3동415,37.5423638,127.1394446
천호3동417,37.5421199,127.1393569
천호3동418,37.5417585,127.1392252
천호3동419,37.5413609,127.1390714
천호3동420,37.5413091,127.1393775
천호3동421,37.5416524,127.139498
천호3동366,37.5427967,127.137018
천호3동367,37.5427183,127.1373923
천호3동368,37.543124,127.1374216
천호3동369,37.5428997,127.13756
천호3동370,37.5425765,127.1377108
천호3동371,37.5423779,127.1376678
천호3동372,37.5421428,127.1375574
천호3동373,37.5424283,127.137158
천호3동374,37.5424541,127.1369993
천호3동375,37.542563,127.1370999
천호3동376,37.5423179,127.1368538
천호3동377,37.5422295,127.1370811
천호3동378,37.5420036,127.1369932
천호3동379,37.5419465,127.1371668
천호3동380,37.5418716,127.1374247
천호3동381,37.5417262,127.1372566
천호3동382,37.541876,127.1368023
천호3동384,37.5414546,127.13709
천호3동385,37.5413649,127.1371363
천호3동386,37.541476,127.1375537
천호3동388,37.5417636,127.1374486
천호3동389,37.5417481,127.1377882
천호3동390,37.5417407,127.1380146
천호3동391,37.5417161,127.1383544
천호3동392,37.5417085,127.1385469
천호3동393,37.541683,127.1387508
천호3동394,37.5416761,127.1390451
천호3동395,37.5416135,127.1391138
천호3동396,37.5413876,127.1390145
천호3동398,37.5419929,127.1392339
천호3동399,37.5421451,127.1391076
천호3동400,37.5421883,127.1388469
천호3동401,37.5421957,127.1386318
천호3동402,37.5423205,127.1384493
천호3동403,37.5424745,127.1385494
천호3동404,37.5423179,127.1380872
천호3동405,37.5423259,127.1379513
천호3동406,37.5428123,127.1379231
천호3동407,37.5430927,127.138067
천호3동408,37.5431624,127.137738
천호3동409,37.54305,127.1383957
천호3동410,37.5427726,127.1386591
천호3동411,37.5429358,127.1388044
천호3동412,37.5428663,127.139156
천호3동328,37.5423092,127.1356544
천호3동329,37.5425233,127.135369
천호3동330,37.5423873,127.1352461
천호3동331,37.5422526,127.1353155
천호3동332,37.5421447,127.1353394
천호3동333,37.541947,127.1354209
천호3동334,37.5418279,127.1351507
천호3동335,37.5420599,127.1348425
천호3동338,37.5422869,127.1350775
천호3동340,37.5419771,127.1346058
천호3동341,37.542102,127.1344346
