관리부서,관리번호,사용목적,소재지지번주소,데이터기준일자,위도,경도
서울특별시 금천구청 도로과,가산동-1063,방범등,서울특별시 금천구 가산동 505-3,2025-06-17,37.4856919,126.8795921
서울특별시 금천구청 도로과,가산동-1064,방범등,"서울특별시 금천구 가산동 505-3 월편 
고가차도, 육교",2025-06-17,37.4856919,126.8795921
서울특별시 금천구청 도로과,가산동-1065,방범등,서울특별시 금천구 가산동 505-18,2025-06-17,37.4854159,126.8799757
서울특별시 금천구청 도로과,가산동-1066,방범등,서울특별시 금천구 가산동 505-11,2025-06-17,37.4860539,126.8796912
서울특별시 금천구청 도로과,가산동-1067,방범등,서울특별시 금천구 가산동 481-2,2025-06-17,37.4858685,126.8783981
서울특별시 금천구청 도로과,가산동-1068,방범등,서울특별시 금천구 가산동 481-2,2025-06-17,37.4858685,126.8783981
서울특별시 금천구청 도로과,가산동-1069,방범등,서울특별시 금천구 가산동 481-2,2025-06-17,37.4858685,126.8783981
서울특별시 금천구청 도로과,가산동-1072,방범등,서울특별시 금천구 가산동 371-37,2025-06-17,37.4772425,126.8837508
서울특별시 금천구청 도로과,가산동-1073,방범등,서울특별시 금천구 가산동 371-37,2025-06-17,37.4772425,126.8837508
서울특별시 금천구청 도로과,가산동-1074,방범등,서울특별시 금천구 가산동 371-37,2025-06-17,37.4772425,126.8837508
서울특별시 금천구청 도로과,가산동-1076,방범등,서울특별시 금천구 가산동 550-15,2025-06-17,37.4765416,126.8785584
서울특별시 금천구청 도로과,가산동-1077,방범등,서울특별시 금천구 가산동 550-15,2025-06-17,37.4765416,126.8785584
서울특별시 금천구청 도로과,가산동-1078,방범등,서울특별시 금천구 가산동 550-15,2025-06-17,37.4765416,126.8785584
서울특별시 금천구청 도로과,가산동-1080,방범등,서울특별시 금천구 가산동 550-22,2025-06-17,37.4758357,126.8789211
서울특별시 금천구청 도로과,가산동-1081,방범등,서울특별시 금천구 가산동 550-22,2025-06-17,37.4758357,126.8789211
서울특별시 금천구청 도로과,가산동-1082,방범등,서울특별시 금천구 가산동 550-22,2025-06-17,37.4758357,126.8789211
서울특별시 금천구청 도로과,가산동-1083,방범등,서울특별시 금천구 가산동 505-11,2025-06-17,37.4860539,126.8796912
서울특별시 금천구청 도로과,가산동-1085,방범등,서울특별시 금천구 가산동 481-2,2025-06-17,37.4858685,126.8783981
서울특별시 금천구청 도로과,가산동-1086,방범등,서울특별시 금천구 가산동 458-22,2025-06-17,37.4803137,126.8797162
서울특별시 금천구청 도로과,가산동-1087,방범등,서울특별시 금천구 가산동 458-15,2025-06-17,37.4804361,126.8790023
서울특별시 금천구청 도로과,가산동-1088,방범등,서울특별시 금천구 가산동 536-17(광명교),2025-06-17,37.4848222,126.8742650
서울특별시 금천구청 도로과,가산동-1089,방범등,서울특별시 금천구 가산동 536-17(광명교),2025-06-17,37.4848222,126.8742650
서울특별시 금천구청 도로과,가산동-1090,방범등,서울특별시 금천구 가산동 536-17(광명교),2025-06-17,37.4848222,126.8742650
서울특별시 금천구청 도로과,가산동-1091,방범등,서울특별시 금천구 가산동 536-17(광명교),2025-06-17,37.4848222,126.8742650
서울특별시 금천구청 도로과,가산동-1097,방범등,서울특별시 금천구 가산동 458-25,2025-06-17,37.4802109,126.8797366
서울특별시 금천구청 도로과,가산동-1098,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
서울특별시 금천구청 도로과,가산동-1099,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
서울특별시 금천구청 도로과,가산동-201,방범등,서울특별시 금천구 가산동 4-22,2025-06-17,37.4852011,126.8814308
서울특별시 금천구청 도로과,가산동-2010,방범등,서울특별시 금천구 가산동 7-10,2025-06-17,37.4845707,126.8820333
서울특별시 금천구청 도로과,가산동-20100,방범등,서울특별시 금천구 가산동 4-22 건너,2025-06-17,37.4852011,126.8814308
서울특별시 금천구청 도로과,가산동-20101,방범등,서울특별시 금천구 가산동 602-71,2025-06-17,37.4827321,126.8843942
서울특별시 금천구청 도로과,가산동-2011,방범등,서울특별시 금천구 가산동 7-12,2025-06-17,37.4847079,126.8822383
서울특별시 금천구청 도로과,가산동-20113,방범등,서울특별시 금천구 가산동 139-31,2025-06-17,37.4794526,126.8882938
서울특별시 금천구청 도로과,가산동-20114,방범등,서울특별시 금천구 가산동 139-31,2025-06-17,37.4794526,126.8882938
서울특별시 금천구청 도로과,가산동-20115,방범등,서울특별시 금천구 가산동 139-18,2025-06-17,37.4790041,126.8888516
서울특별시 금천구청 도로과,가산동-20119,방범등,서울특별시 금천구 가산동 32-60,2025-06-17,37.4837750,126.8821558
서울특별시 금천구청 도로과,가산동-2012,방범등,서울특별시 금천구 가산동 32-20,2025-06-17,37.4844656,126.8822486
서울특별시 금천구청 도로과,가산동-20120,방범등,서울특별시 금천구 가산동 34-68,2025-06-17,37.4835461,126.8829122
서울특별시 금천구청 도로과,가산동-20122,방범등,서울특별시 금천구 가산동 35-12,2025-06-17,37.4831486,126.8825003
서울특별시 금천구청 도로과,가산동-20124,방범등,서울특별시 금천구 가산동 40-10,2025-06-17,37.4826435,126.8835718
서울특별시 금천구청 도로과,가산동-20125,방범등,서울특별시 금천구 가산동 602-71,2025-06-17,37.4827321,126.8843942
서울특별시 금천구청 도로과,가산동-20126,방범등,서울특별시 금천구 가산동 34-85,2025-06-17,37.4835696,126.8824631
서울특별시 금천구청 도로과,가산동-20127,방범등,서울특별시 금천구 가산동 7-18,2025-06-17,37.4846294,126.8822923
서울특별시 금천구청 도로과,가산동-20128,방범등,서울특별시 금천구 가산동 34-34,2025-06-17,37.4830033,126.8830805
서울특별시 금천구청 도로과,가산동-20129,방범등,서울특별시 금천구 가산동 345-1,2025-06-17,37.4763987,126.8842433
서울특별시 금천구청 도로과,가산동-2013,방범등,서울특별시 금천구 가산동 32-65,2025-06-17,37.4844209,126.8819831
